CENSO;Regional;Munic¡pio;Nome;email
33031509;MEDIO PARAÖBA;RESENDE;CE OLIVEIRA BOTELHO;ceoliveirabotelho@educacao.rj.gov.br
33031711;MEDIO PARAÖBA;RESENDE;CE ANIBAL BENEVOLO;ceanibalbenevolo@educacao.rj.gov.br
33031720;MEDIO PARAÖBA;RESENDE;CE OLAVO BILAC;c.e.olavobilac@educacao.rj.gov.br
33031738;MEDIO PARAÖBA;RESENDE;CE PROFESSOR JOSE MEDEIROS DE CAMARGO;ceprofjosemedeirosdecamargo@educacao.rj.gov.br
33031762;MEDIO PARAÖBA;RESENDE;EE PROFESSOR OSWALDO DA ROCHA CAMOES;eeprofoswaldodarochacamoes@educacao.rj.gov.br
33031843;MEDIO PARAÖBA;RESENDE;CE ENGENHEIRO PASSOS;ceengenheiropassos@educacao.rj.gov.br
33032130;MEDIO PARAÖBA;PORTO REAL;CE REPUBLICA ITALIANA;cerepublicaitaliana@educacao.rj.gov.br
33032220;MEDIO PARAÖBA;RIO CLARO;CE FAGUNDES VARELA;cefagundesvarela@educacao.rj.gov.br
33032360;MEDIO PARAÖBA;RIO CLARO;CIEP 296 PRESIDENTE BENES;cepresidentebenes@educacao.rj.gov.br
33032459;MEDIO PARAÖBA;RIO CLARO;CE ALFREDO PUJOL;cealfredopujol@educacao.rj.gov.br
33032718;MEDIO PARAÖBA;VOLTA REDONDA;CIEP 299 JIULIO CARUSO;ciep299@educacao.rj.gov.br
33032734;MEDIO PARAÖBA;VOLTA REDONDA;CIEP 053 DOUTOR NELSON DOS SANTOS GONCALVES;ciep053@educacao.rj.gov.br
33032742;MEDIO PARAÖBA;VOLTA REDONDA;CIEP 295 PROFESSORA GLORIA ROUSSIN GUEDES PINTO;ciepbrizolao295@educacao.rj.gov.br
33032793;MEDIO PARAÖBA;VOLTA REDONDA;CE BARAO DE MAUA;cebaraodemaua@educacao.rj.gov.br
33032807;MEDIO PARAÖBA;VOLTA REDONDA;CE PIAUI;cepiaui@educacao.rj.gov.br
33032815;MEDIO PARAÖBA;VOLTA REDONDA;CE PREFEITO FRANCISCO FONTES TORRES;cepreffftorres@educacao.rj.gov.br
33032823;MEDIO PARAÖBA;VOLTA REDONDA;CE RIO DE JANEIRO;ceriodejaneiro@educacao.rj.gov.br
33032939;MEDIO PARAÖBA;VOLTA REDONDA;CE SANTOS DUMONT;cesantosdumont@educacao.rj.gov.br
33032998;MEDIO PARAÖBA;VOLTA REDONDA;CE ACACIA AMARELA;ceacaciaamarela@educacao.rj.gov.br
33033005;MEDIO PARAÖBA;VOLTA REDONDA;CE ACRE;eeacre@educacao.rj.gov.br
33033030;MEDIO PARAÖBA;VOLTA REDONDA;CE BRASILIA;cebrasilia@educacao.rj.gov.br
33033056;MEDIO PARAÖBA;VOLTA REDONDA;CE GUANABARA;ceguanabara@educacao.rj.gov.br
33033064;MEDIO PARAÖBA;VOLTA REDONDA;CE MARANHAO;cemaranhao@educacao.rj.gov.br
33033072;MEDIO PARAÖBA;VOLTA REDONDA;EE MINAS GERAIS;eeminasgerais@educacao.rj.gov.br
33033099;MEDIO PARAÖBA;VOLTA REDONDA;CE NITEROI;ceniteroi@educacao.rj.gov.br
33033102;MEDIO PARAÖBA;VOLTA REDONDA;CE PAU DALHO;cepaudalho@educacao.rj.gov.br
33033110;MEDIO PARAÖBA;VOLTA REDONDA;CE PEDRO RAYMUNDO DE MAGALHAES;cepedroraymundodemagalhaes@educacao.rj.gov.br
33033129;MEDIO PARAÖBA;VOLTA REDONDA;CE PRESIDENTE ROOSEVELT;cepresidenteroosevelt@educacao.rj.gov.br
33033145;MEDIO PARAÖBA;VOLTA REDONDA;CE RIO GRANDE DO NORTE;ceriograndedonorte@educacao.rj.gov.br
33033170;MEDIO PARAÖBA;VOLTA REDONDA;CE RIO GRANDE DO SUL;ceriograndedosul@educacao.rj.gov.br
33033188;MEDIO PARAÖBA;VOLTA REDONDA;CE RONDONIA;cerondonia@educacao.rj.gov.br
33033196;MEDIO PARAÖBA;VOLTA REDONDA;EE ROTARY;eerotary@educacao.rj.gov.br
33033200;MEDIO PARAÖBA;VOLTA REDONDA;CE SAO PAULO;cesaopaulo@educacao.rj.gov.br
33033978;MEDIO PARAÖBA;VOLTA REDONDA;CIEP 484 TONINHO MARQUES;ciep484@educacao.rj.gov.br
33033994;MEDIO PARAÖBA;VOLTA REDONDA;IE PROFESSOR MANUEL MARINHO;ieprofmanuelmarinho@educacao.rj.gov.br
33036594;MEDIO PARAÖBA;ANGRA DOS REIS;CE NAZIRA SALOMAO;cenazirasalomao@educacao.rj.gov.br
33036632;MEDIO PARAÖBA;ANGRA DOS REIS;CIEP 055 JOAO GREGORIO GALINDO;ciep055@educacao.rj.gov.br
33036640;MEDIO PARAÖBA;ANGRA DOS REIS;CE DOUTOR ARTUR VARGAS;cedoutorarturvargas@educacao.rj.gov.br
33036691;MEDIO PARAÖBA;ANGRA DOS REIS;CE CONDE PEREIRA CARNEIRO;cecondepereiracarneiro@educacao.rj.gov.br
33036713;MEDIO PARAÖBA;ANGRA DOS REIS;CE HONORIO LIMA;cehonoriolima@educacao.rj.gov.br
33037027;MEDIO PARAÖBA;ANGRA DOS REIS;CE ANTONIO DIAS LIMA;ceantoniodiaslima@educacao.rj.gov.br
33037230;MEDIO PARAÖBA;ANGRA DOS REIS;CE LEOPOLDO AMERICO MIGUEZ DE MELLO;celeopoldoamericomiguezdemello@educacao.rj.gov.br
33037337;MEDIO PARAÖBA;ANGRA DOS REIS;CE ROBERTO MONTENEGRO;cerobertomontenegro@educacao.rj.gov.br
33037515;MEDIO PARAÖBA;PARATI;CIEP 999 DOM PEDRO DALCANTARA DE BRAGANCA - PRIMEIRO IMPERADOR DO BRASIL;ciep999@educacao.rj.gov.br
33037523;MEDIO PARAÖBA;PARATI;CE ENGENHEIRO MARIO MOURA BRASIL DO AMARAL;ceengenheiromariomourabrasil@educacao.rj.gov.br
33037965;MEDIO PARAÖBA;PARATI;CE ALMIRANTE ALVARO ALBERTO;cealmirantealvaroalberto@educacao.rj.gov.br
33045844;MEDIO PARAÖBA;MANGARATIBA;CE JOAO PAULO II;cejoaopaulo2@educacao.rj.gov.br
33046174;MEDIO PARAÖBA;MANGARATIBA;CE MONTEBELLO BONDIM;cemontebellobondim@educacao.rj.gov.br
33096830;MEDIO PARAÖBA;BARRA MANSA;CIEP 486 PROFESSOR LUIZ VALLEJO;ciep486@educacao.rj.gov.br
33096856;MEDIO PARAÖBA;BARRA MANSA;CIEP 493 PROFESSORA ANTONIETA SALINAS DE CASTRO;ciep493@educacao.rj.gov.br
33096864;MEDIO PARAÖBA;BARRA MANSA;CIEP 485 PROFESSOR JOAO BATISTA DE BARROS;ciep485@educacao.rj.gov.br
33096880;MEDIO PARAÖBA;BARRA MANSA;CIEP 292 PROFESSORA JANDIRA REIS DE OLIVEIRA;ciep292@educacao.rj.gov.br
33097798;MEDIO PARAÖBA;RESENDE;CIEP 347 DOUTOR JORGE MIGUEL JAYME;ciep347@educacao.rj.gov.br
33097941;MEDIO PARAÖBA;PINHEIRAL;CE CELIO BARBOSA ANCHITE;cecbanchite@educacao.rj.gov.br
33098018;MEDIO PARAÖBA;ANGRA DOS REIS;CIE GUARANI KARAI KUERY RENDA;cieguaranikkr@educacao.rj.gov.br
33098077;MEDIO PARAÖBA;ANGRA DOS REIS;CIEP 302 CHARLES DICKENS;ciep302@educacao.rj.gov.br
33098085;MEDIO PARAÖBA;ANGRA DOS REIS;CIEP 495 ALBERTO DA VEIGA GUIGNARD;ciep495@educacao.rj.gov.br
33103097;MEDIO PARAÖBA;VOLTA REDONDA;CIEP 403 MARIA DE LURDES GIOVANETTI;ciep403@educacao.rj.gov.br
33115001;MEDIO PARAÖBA;RESENDE;CE ANTONIO QUIRINO;ceantonioquirino@educacao.rj.gov.br
33117675;MEDIO PARAÖBA;VOLTA REDONDA;CIESP DIOGO LEVENHAGEN;ciespdiogolevenhagen@educacao.rj.gov.br
33125449;MEDIO PARAÖBA;ANGRA DOS REIS;CE BRIGADEIRO NOBREGA;cebrigadeironobrega@educacao.rj.gov.br
33135860;MEDIO PARAÖBA;ANGRA DOS REIS;CE PEDRO SOARES;cepedrosoares@educacao.rj.gov.br
33156883;MEDIO PARAÖBA;VOLTA REDONDA;CE GECY VIEIRA GONCALVES;cegecyvieiragoncalves@educacao.rj.gov.br
33156999;MEDIO PARAÖBA;VOLTA REDONDA;CIEP 293 WALMIR DE FREITAS MONTEIRO;ciepbrizolao293@educacao.rj.gov.br
33166412;MEDIO PARAÖBA;MANGARATIBA;CE CAETANO DE OLIVEIRA;cecaetanodeoliveira@educacao.rj.gov.br
33046549;METROPOLITANA I;NOVA IGUACU;CIEP 351 MINISTRO SALGADO FILHO;ciep351@educacao.rj.gov.br
33052433;METROPOLITANA I;JAPERI;CE ARMANDO DIAS;cearmandodias@educacao.rj.gov.br
33052441;METROPOLITANA I;JAPERI;CE JOAO SANTOS SOUTO;cejoaosantossouto@educacao.rj.gov.br
33052492;METROPOLITANA I;JAPERI;CE ALMIRANTE TAMANDARE;cealmirantetamandarejaperi@educacao.rj.gov.br
33052514;METROPOLITANA I;JAPERI;CE BARAO DO RIO BRANCO;baraoriobranco@educacao.rj.gov.br
33052530;METROPOLITANA I;JAPERI;CE ENGENHEIRO PEDREIRA;ceengenheiropedreira@educacao.rj.gov.br
33058180;METROPOLITANA I;NOVA IGUACU;CIEP 119 AUSTIN;ciep119@educacao.rj.gov.br
33058199;METROPOLITANA I;NOVA IGUACU;CIEP 167 JARDIM PARAISO;ciep167@educacao.rj.gov.br
33058202;METROPOLITANA I;NOVA IGUACU;CIEP 200 RECANTO DOS COLIBRIS;ciep200@educacao.rj.gov.br
33058210;METROPOLITANA I;NOVA IGUACU;CIEP 216 PREFEITO JUAREZ ANTUNES;ciep216@educacao.rj.gov.br
33058237;METROPOLITANA I;NOVA IGUACU;CIEP 324 MAHATMA GANDHI;ciepbrizolao324@educacao.rj.gov.br
33058245;METROPOLITANA I;NOVA IGUACU;CIEP 334 MOACYR JOSE PEREIRA GERK;ciep334@educacao.rj.gov.br
33058261;METROPOLITANA I;NOVA IGUACU;CIEP 356 AUGUSTO RUSCHI;ciep356@educacao.rj.gov.br
33058270;METROPOLITANA I;NOVA IGUACU;CIEP 359 CHARLES PERRAULT;ciep359@educacao.rj.gov.br
33058288;METROPOLITANA I;NOVA IGUACU;CIEP 365 ASA BRANCA;ciep365@educacao.rj.gov.br
33058296;METROPOLITANA I;NOVA IGUACU;CIEP 387 HANS CRISTIAN ANDERSEN;ciep387@educacao.rj.gov.br
33058300;METROPOLITANA I;NOVA IGUACU;CIEP 390 CHAO DE ESTRELAS;ciep390@educacao.rj.gov.br
33058318;METROPOLITANA I;NOVA IGUACU;CIEP 394 VEREADOR CANDIDO AUGUSTO RIBEIRO NETO;ciep394@educacao.rj.gov.br
33058326;METROPOLITANA I;NOVA IGUACU;CIEP 075 JARDIM CABUCU;ciepbrizolao075@educacao.rj.gov.br
33058334;METROPOLITANA I;NOVA IGUACU;CIEP 166 ABILIO AUGUSTO TAVORA;ciep166@educacao.rj.gov.br
33058342;METROPOLITANA I;NOVA IGUACU;CIEP 317 AURELIO BUARQUE DE HOLANDA;ciep317@educacao.rj.gov.br
33058350;METROPOLITANA I;NOVA IGUACU;CIEP 187 BENEDITO LARANJEIRAS;ciep187@educacao.rj.gov.br
33058377;METROPOLITANA I;NOVA IGUACU;CIEP 117 CARLOS DRUMMOND DE ANDRADE BRASIL ESTADOS UNIDOS;ciep117@educacao.rj.gov.br
33058393;METROPOLITANA I;NOVA IGUACU;CIEP 025 GETULIO SALES RODRIGUES;ciep025@educacao.rj.gov.br
33058407;METROPOLITANA I;NOVA IGUACU;CIEP 395 LUIZ HENRIQUE REZENDE NOVAES;ciep395@educacao.rj.gov.br
33058415;METROPOLITANA I;NOVA IGUACU;CIEP 188 MARIANO FLOR CAVALCANTE;mariadiniz@educacao.rj.gov.br
33058440;METROPOLITANA I;NOVA IGUACU;CIEP 113 WALDICK PEREIRA;ciepbrizolao113@educacao.rj.gov.br
33058458;METROPOLITANA I;NOVA IGUACU;CIEP 196 SAO TEODORO;ciep196@educacao.rj.gov.br
33058466;METROPOLITANA I;NOVA IGUACU;CIEP 026 SAO VICENTE DE PAULA;ciep026@educacao.rj.gov.br
33058474;METROPOLITANA I;NOVA IGUACU;CIEP 134 VEREADOR JOSE LOPES DE ARAUJO;ciep134@educacao.rj.gov.br
33058571;METROPOLITANA I;NOVA IGUACU;CE ANTONIO DA SILVA;ceasilva@educacao.rj.gov.br
33058580;METROPOLITANA I;NOVA IGUACU;CE ARRUDA NEGREIROS;cearrudanegreiros@educacao.rj.gov.br
33058601;METROPOLITANA I;NOVA IGUACU;CE CALIFORNIA;cecalifornia@educacao.rj.gov.br
33058610;METROPOLITANA I;NOVA IGUACU;CE DOM WALMOR;cedomwalmor@educacao.rj.gov.br
33058636;METROPOLITANA I;NOVA IGUACU;CE ENGENHEIRO AREA LEAO;ceengenheiroarealeao@educacao.rj.gov.br
33058652;METROPOLITANA I;NOVA IGUACU;CE FRANCISCO ASSUMPCAO;cefranciscoassumpcao@educacao.rj.gov.br
33058679;METROPOLITANA I;NOVA IGUACU;CE JARDIM ALVORADA;cejardimalvorada@educacao.rj.gov.br
33058687;METROPOLITANA I;NOVA IGUACU;CE JOSE BONIFACIO;ce.josebonifacio@educacao.rj.gov.br
33058695;METROPOLITANA I;NOVA IGUACU;CE MILTON CAMPOS;ce_miltoncampos@educacao.rj.gov.br
33058709;METROPOLITANA I;NOVA IGUACU;CE ABDIAS NASCIMENTO;cepresidentecostaesilva@educacao.rj.gov.br
33058733;METROPOLITANA I;NOVA IGUACU;CE PROFESSORA EVANGELINA SOARES DE MOURA;ceprofaevangelinasoaresdemoura@educacao.rj.gov.br
33058741;METROPOLITANA I;NOVA IGUACU;CE PROFESSORA MARIA JOSE RAUNHETTI DUCCINI;cepmjrd@educacao.rj.gov.br
33058750;METROPOLITANA I;NOVA IGUACU;CE SAO JUDAS TADEU;cesaojudastadeu@educacao.rj.gov.br
33058768;METROPOLITANA I;NOVA IGUACU;CE SARGENTO ANTONIO ERNESTO;ciep206@educacao.rj.gov.br
33058776;METROPOLITANA I;NOVA IGUACU;CE VICENTINA GOULART;cevicentinagoulart@educacao.rj.gov.br
33058946;METROPOLITANA I;NOVA IGUACU;CE COMENDADOR SOARES;cecomendadorsoares@educacao.rj.gov.br
33059152;METROPOLITANA I;NOVA IGUACU;CE ALFREDO NEVES;cealfredoneves@educacao.rj.gov.br
33059209;METROPOLITANA I;NOVA IGUACU;CE BERNARDINO MELO JUNIOR;eebernardinomellojunior@educacao.rj.gov.br
33059225;METROPOLITANA I;NOVA IGUACU;CE CAPITAO JOAQUIM QUARESMA DE OLIVEIRA;cecapitaojoaquimquaresmadeoliveira@educacao.rj.gov.br
33059241;METROPOLITANA I;NOVA IGUACU;CE DOUTOR MARIO GUIMARAES;cedoutormarioguimaraes@educacao.rj.gov.br
33059284;METROPOLITANA I;NOVA IGUACU;CE LEOPOLDO MACHADO;celeopoldomachado@educacao.rj.gov.br
33059306;METROPOLITANA I;NOVA IGUACU;EE MACHADO DE ASSIS;eemachadodeassis@educacao.rj.gov.br
33059322;METROPOLITANA I;NOVA IGUACU;CE MARIA JUSTINIANO FERNANDES;cemariajustinianofernandes@educacao.rj.gov.br
33059330;METROPOLITANA I;NOVA IGUACU;EE MESTRE HIRAM;eemestrehiran@educacao.rj.gov.br
33059357;METROPOLITANA I;NOVA IGUACU;EE MONSENHOR JOAO MUSH;eemjmush@educacao.rj.gov.br
33059373;METROPOLITANA I;NOVA IGUACU;CE NATIVIDADE PATRICIO ANTUNES;cenatividadepatricioantunes@educacao.rj.gov.br
33059381;METROPOLITANA I;NOVA IGUACU;CE PROFESSOR AMAZOR VIEIRA BORGES;ceprofamazorvieiraborges@educacao.rj.gov.br
33059403;METROPOLITANA I;NOVA IGUACU;CE PROFESSORA VENINA CORREA TORRES;ceprofaveninacorreatorres@educacao.rj.gov.br
33059411;METROPOLITANA I;NOVA IGUACU;EE JOAO DO VALE  ;eejoaodovale@educacao.rj.gov.br
33059446;METROPOLITANA I;NOVA IGUACU;CE SAO JORGE;cesaojorge@educacao.rj.gov.br
33059454;METROPOLITANA I;NOVA IGUACU;CE SANTO ANTONIO DE PADUA;cesantoantoniodepadua@educacao.rj.gov.br
33059462;METROPOLITANA I;NOVA IGUACU;CE VEREADOR PERCY BATISTA CRISPIN;cepercybatistacrispim@educacao.rj.gov.br
33059470;METROPOLITANA I;NOVA IGUACU;CE YONNE MARIA SIQUEIRA DE ANDRADE;ceyonnemariasiqueiradeandrade@educacao.rj.gov.br
33060177;METROPOLITANA I;NOVA IGUACU;CIEP 358 ALBERTO PASQUALINI;ciep358@educacao.rj.gov.br
33060185;METROPOLITANA I;NOVA IGUACU;CIEP 383 MAXIMO GORKI;ciepbrizolao383@educacao.rj.gov.br
33060193;METROPOLITANA I;NOVA IGUACU;CIEP 354 MARTINS PENA;ciep354@educacao.rj.gov.br
33060274;METROPOLITANA I;NOVA IGUACU;IE RANGEL PESTANA;ierangelpestana@educacao.rj.gov.br
33060711;METROPOLITANA I;NOVA IGUACU;CIEP 352 SENADOR SEVERO GOMES;ciep352@educacao.rj.gov.br
33060720;METROPOLITANA I;NOVA IGUACU;CIEP 021 GENERAL OSORIO;ciep021@educacao.rj.gov.br
33060738;METROPOLITANA I;NOVA IGUACU;CE MARECHAL JUAREZ TAVORA;cemarechaljuareztavora@educacao.rj.gov.br
33060746;METROPOLITANA I;NOVA IGUACU;CE SANTA RITA DE CASSIA;cesantaritadecassia@educacao.rj.gov.br
33060797;METROPOLITANA I;NOVA IGUACU;CE AMBAI;ceambai@educacao.rj.gov.br
33060800;METROPOLITANA I;NOVA IGUACU;CE BARAO DE TINGUA;cebaraodetingua@educacao.rj.gov.br
33060819;METROPOLITANA I;NOVA IGUACU;CE DOS LIRIOS;eedoslirios@educacao.rj.gov.br
33060827;METROPOLITANA I;NOVA IGUACU;CE FIGUEIRA;cefigueira@educacao.rj.gov.br
33060835;METROPOLITANA I;NOVA IGUACU;CE JARDIM MARILICE;cejardimmarilice@educacao.rj.gov.br
33060843;METROPOLITANA I;NOVA IGUACU;CE MARIA EMILIA AMARAL FONTOURA;cemariaemiliaamaralfontoura@educacao.rj.gov.br
33060860;METROPOLITANA I;NOVA IGUACU;EE NILO PECANHA;eenilopecanha@educacao.rj.gov.br
33060878;METROPOLITANA I;NOVA IGUACU;CE PROFESSORA MARINA BENTO;ceprofamarinabento@educacao.rj.gov.br
33061742;METROPOLITANA I;QUEIMADOS;CE PREFEITO LUIZ GUIMARAES;ceprefluizguimaraes@educacao.rj.gov.br
33061750;METROPOLITANA I;QUEIMADOS;CE SAO CRISTOVAO;cesaocristovao@educacao.rj.gov.br
33061769;METROPOLITANA I;NOVA IGUACU;CE SAO FRANCISCO DE PAULA;cesaofranciscodepaula@educacao.rj.gov.br
33061866;METROPOLITANA I;QUEIMADOS;CE DOM JOAO VI;cedomjoaovi@educacao.rj.gov.br
33061874;METROPOLITANA I;QUEIMADOS;CE DOM BOSCO;cedombosco@educacao.rj.gov.br
33061890;METROPOLITANA I;NOVA IGUACU;EE HUMBERTO DE CAMPOS;cehumbertodecampos@educacao.rj.gov.br
33061912;METROPOLITANA I;QUEIMADOS;CE JOSE DE ANCHIETA;cejosedeanchieta@educacao.rj.gov.br
33061920;METROPOLITANA I;QUEIMADOS;CE RAYMUNDO CORREA;ceraymundocorrea@educacao.rj.gov.br
33061939;METROPOLITANA I;QUEIMADOS;CE SAO JOAO;cesaojoao@educacao.rj.gov.br
33096740;METROPOLITANA I;QUEIMADOS;CIEP 341 SEBASTIAO PEREIRA PORTES;ciep341@educacao.rj.gov.br
33097020;METROPOLITANA I;NOVA IGUACU;CIEP 172 NELSON RODRIGUES;ciep172@educacao.rj.gov.br
33097062;METROPOLITANA I;QUEIMADOS;CIEP 355 ROQUETE PINTO;ciep355@educacao.rj.gov.br
33097151;METROPOLITANA I;QUEIMADOS;CIEP 396 LUIZ PEIXOTO;ciep396@educacao.rj.gov.br
33097275;METROPOLITANA I;NOVA IGUACU;CIEP 333 CACILDA BECKER;ciep333@educacao.rj.gov.br
33097607;METROPOLITANA I;QUEIMADOS;CIEP 344 ADONIRAN BARBOSA;ciep344@educacao.rj.gov.br
33098123;METROPOLITANA I;NOVA IGUACU;CIEP 345 Y JUCA PIRAMA;ciep345@educacao.rj.gov.br
33099898;METROPOLITANA I;QUEIMADOS;CIEP 346 BELARMINO ALFREDO DOS SANTOS;ciep346@educacao.rj.gov.br
33099901;METROPOLITANA I;QUEIMADOS;CIEP 335 PROFESSOR JOAQUIM DE FREITAS;ciep335@educacao.rj.gov.br
33100080;METROPOLITANA I;JAPERI;CIEP 207 GILSON AMADO;ciep207@educacao.rj.gov.br
33100209;METROPOLITANA I;JAPERI;CIEP 401 LUCIMAR DE SOUZA SANTOS;ciep401@educacao.rj.gov.br
33100217;METROPOLITANA I;JAPERI;CIEP 402 APARICIO TORELLI;ciep402@educacao.rj.gov.br
33100322;METROPOLITANA I;NOVA IGUACU;CIEP 168 HILDA SILVEIRA RODRIGUES;ciep168@educacao.rj.gov.br
33100330;METROPOLITANA I;NOVA IGUACU;CIEP 360 PROFESSORA IARA SIMAO VIEIRA;ciep360@educacao.rj.gov.br
33101671;METROPOLITANA I;JAPERI;CIEP 206 PROFESSORA CYRENE MORAES COSTA;ciep206@educacao.rj.gov.br
33117764;METROPOLITANA I;NOVA IGUACU;CE PROFESSORA MARIA HELENA AMARAL ALARCAO;ceprofamariahelenaamaralalarcao@educacao.rj.gov.br
33142270;METROPOLITANA I;NOVA IGUACU;CE DOM ADRIANO HIPOLITO;ceadrianohipolito@educacao.rj.gov.br
33088861;METROPOLITANA II ;SAO GONCALO;CIEP 237 JORNALISTA WLADIMIR HERZOG;ciep237@educacao.rj.gov.br
33088870;METROPOLITANA II ;SAO GONCALO;CIEP 430 CARLOS MARIGHELLA;ciep430@educacao.rj.gov.br
33088896;METROPOLITANA II ;SAO GONCALO;CIEP 306 DEPUTADO DAVID QUINDERE;ciep306deputadodavidquindere@educacao.rj.gov.br
33088900;METROPOLITANA II ;SAO GONCALO;CIEP 249 PASTOR WALDEMAR ZARRO;ciep249@educacao.rj.gov.br
33088926;METROPOLITANA II ;SAO GONCALO;CIEP 240 PROFESSOR HAROLDO TEIXEIRA VALLADAO;ciep240@educacao.rj.gov.br
33088942;METROPOLITANA II ;SAO GONCALO;CIEP 248 PROFESSOR TULIO RODRIGUES PERLINGEIRO;ciepbrizolao248@educacao.rj.gov.br
33088950;METROPOLITANA II ;SAO GONCALO;CIEP 052 PROFESSORA ROMANDA GOUVEIA GONCALVES;ciep052@educacao.rj.gov.br
33088969;METROPOLITANA II ;SAO GONCALO;CIEP 041 VITAL BRAZIL;ciep041@educacao.rj.gov.br
33089043;METROPOLITANA II ;SAO GONCALO;CE ARMANDO GONCALVES;cearmandogoncalves@educacao.rj.gov.br
33089051;METROPOLITANA II ;SAO GONCALO;CE DOUTOR ADINO XAVIER;cedoutorandinoxavier@educacao.rj.gov.br
33089060;METROPOLITANA II ;SAO GONCALO;CE ISMAEL BRANCO;ceismaelbranco@educacao.rj.gov.br
33089086;METROPOLITANA II ;SAO GONCALO;CE MINISTRO JOSE DE MOURA E SILVA;ceministrosilva@educacao.rj.gov.br
33089094;METROPOLITANA II ;SAO GONCALO;CE NILO PECANHA;ce.nilopecanha@educacao.rj.gov.br
33089108;METROPOLITANA II ;SAO GONCALO;CE PANDIA CALOGERAS;cepandiacalogeras@educacao.rj.gov.br
33089124;METROPOLITANA II ;SAO GONCALO;CE PADRE MANUEL DA NOBREGA;cepadremanueldanobrega@educacao.rj.gov.br
33089337;METROPOLITANA II ;SAO GONCALO;EE CAPITAO BELARMINO DE MATTOS;eecapbelarminodemattos@educacao.rj.gov.br
33089370;METROPOLITANA II ;SAO GONCALO;EE CRUZEIRO DO SUL;eecruzeirodosul@educacao.rj.gov.br
33089388;METROPOLITANA II ;SAO GONCALO;CE FREDERICO AZEVEDO;cefredericoazevedo@educacao.rj.gov.br
33089396;METROPOLITANA II ;SAO GONCALO;CE LAURO CORREA;celaurocorrea@educacao.rj.gov.br
33089426;METROPOLITANA II ;SAO GONCALO;CE MONSENHOR BARENCO COELHO;cebarencocoelho@educacao.rj.gov.br
33089469;METROPOLITANA II ;SAO GONCALO;CE PROFESSORA ANTONIETA PALMEIRA;ceprofaantonietapalmeira@educacao.rj.gov.br
33089841;METROPOLITANA II ;SAO GONCALO;IE CLELIA NANCI;iecleliananci@educacao.rj.gov.br
33090149;METROPOLITANA II ;SAO GONCALO;CIEP 122 ERMEZINDA DIONISIO NECCO;ciep122@educacao.rj.gov.br
33090157;METROPOLITANA II ;SAO GONCALO;CIEP 126 ALMEDORINA AZEVEDO;ciep126@educacao.rj.gov.br
33090165;METROPOLITANA II ;SAO GONCALO;CIEP 440 MAJOR JOAQUIM DE AZEVEDO COUTINHO;ciep440@educacao.rj.gov.br
33090173;METROPOLITANA II ;SAO GONCALO;CIEP 410 PATRICIA GALVAO PAGU;ciep410@educacao.rj.gov.br
33090246;METROPOLITANA II ;SAO GONCALO;CE DORVAL FERREIRA DA CUNHA;cedorvalferreiracunha@educacao.rj.gov.br
33090270;METROPOLITANA II ;SAO GONCALO;CE AMANDA VELASCO;ceamandavelasco@educacao.rj.gov.br
33090300;METROPOLITANA II ;SAO GONCALO;CE AUGUSTO CEZARIO DIAZ ANDRE;ceacda@educacao.rj.gov.br
33090327;METROPOLITANA II ;SAO GONCALO;CE DESEMBARGADOR FERREIRA PINTO;cedesembargadorferreirapinto@educacao.rj.gov.br
33090343;METROPOLITANA II ;SAO GONCALO;CE DOUTOR HUMBERTO SOEIRO DE CARVALHO;eedrhumbertosoeirodecarvalho@educacao.rj.gov.br
33090351;METROPOLITANA II ;SAO GONCALO;CE DOUTOR RODOLPHO SIQUEIRA;cersiqueira@educacao.rj.gov.br
33090378;METROPOLITANA II ;SAO GONCALO;CE ELIZA MARIA DUTRA;ceelisamariadutra@educacao.rj.gov.br
33090394;METROPOLITANA II ;SAO GONCALO;EE FREDERICO OZANAM;eefredericoozanan@educacao.rj.gov.br
33090424;METROPOLITANA II ;SAO GONCALO;CE PROFESSORA ADELIA MARTINS;ceprofadeliamartins@educacao.rj.gov.br
33090432;METROPOLITANA II ;SAO GONCALO;CE PROFESSORA DALILA DE OLIVEIRA COSTA;ceprofadaliladeoliveiracosta@educacao.rj.gov.br
33090440;METROPOLITANA II ;SAO GONCALO;CE PROFESSOR FRANCISCO DE PAULA ACHILLES;ceprofessorfranciscodepaula@educacao.rj.gov.br
33090459;METROPOLITANA II ;SAO GONCALO;CE PROFESSORA ODYSSEA SILVEIRA DE SIQUEIRA;ceprofodysseasiqueira@educacao.rj.gov.br
33090475;METROPOLITANA II ;SAO GONCALO;CE VITAL BRASIL;eevitalbrasil@educacao.rj.gov.br
33090653;METROPOLITANA II ;SAO GONCALO;CIEP 121 PROFESSOR JOADELIO CODECO;ciep121@educacao.rj.gov.br
33090670;METROPOLITANA II ;SAO GONCALO;CIEP 050 PABLO NERUDA;ciep050@educacao.rj.gov.br
33090688;METROPOLITANA II ;SAO GONCALO;CIEP 239 PROFESSORA ELZA VIANNA FIALHO;ciep239@educacao.rj.gov.br
33090726;METROPOLITANA II ;SAO GONCALO;CE TRASILBO FILGUEIRAS;cetrasilbofilgueiras@educacao.rj.gov.br
33090815;METROPOLITANA II ;SAO GONCALO;CE ALECRIM;cealecrim@educacao.rj.gov.br
